Date : 2023-09-21 00:08:00
Directory : d:\WatchWithMe
Total : 131 files,  17864 codes, 1270 comments, 978 blanks, all 20112 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| d:\WatchWithMe\resources\js\Pages\Profile\Partials\UpdateProfileInformationForm.jsx          | JavaScript JSX     |         87 |          1 |         18 |        106 |
| d:\WatchWithMe\resources\js\Pages\Room\Create.jsx                                            | JavaScript JSX     |        203 |          6 |         10 |        219 |
| d:\WatchWithMe\resources\js\Pages\Room\ShowParty.jsx                                         | JavaScript JSX     |         12 |          2 |          2 |         16 |
| d:\WatchWithMe\resources\js\app.jsx                                                          | JavaScript JSX     |         17 |          0 |          5 |         22 |
| d:\WatchWithMe\resources\js\bootstrap.js                                                     | JavaScript         |          3 |         32 |         11 |         46 |
| d:\WatchWithMe\resources\js\ssr.jsx                                                          | JavaScript JSX     |         22 |          0 |          4 |         26 |
| d:\WatchWithMe\resources\views\app.blade.php                                                 | PHP                |         19 |          0 |          4 |         23 |
| d:\WatchWithMe\routes\api.php                                                                | PHP                |          6 |         10 |          4 |         20 |
| d:\WatchWithMe\routes\auth.php                                                               | PHP                |         43 |          0 |         17 |         60 |
| d:\WatchWithMe\routes\channels.php                                                           | PHP                |          6 |         10 |          5 |         21 |
| d:\WatchWithMe\routes\console.php                                                            | PHP                |          6 |         10 |          4 |         20 |
| d:\WatchWithMe\routes\web.php                                                                | PHP                |         27 |         11 |          9 |         47 |
| d:\WatchWithMe\server.js                                                                     | JavaScript         |         18 |          1 |          3 |         22 |
| d:\WatchWithMe\tailwind.config.js                                                            | JavaScript         |         21 |          2 |          4 |         27 |
| d:\WatchWithMe\tests\CreatesApplication.php                                                  | PHP                |         13 |          3 |          6 |         22 |
| d:\WatchWithMe\tests\Feature\Auth\AuthenticationTest.php                                     | PHP                |         34 |          0 |         12 |         46 |
| d:\WatchWithMe\tests\Feature\Auth\EmailVerificationTest.php                                  | PHP                |         50 |          0 |         16 |         66 |
